기간,자치구,세대,인구,남자,여자,한국계,한국남자,한국여자,외국계,외국남자,외국여자,세대당인구,65세이상고령자
2018,관악구,262222 ,520040 ,260742 ,259298 ,501957 ,252160 ,249797 ,18083 ,8582 ,9501 ,2 ,72249 
2018,서초구,172918 ,438163 ,209977 ,228186 ,433951 ,207868 ,226083 ,4212 ,2109 ,2103 ,3 ,54751 
2018,강남구,228775 ,547453 ,262203 ,285250 ,542364 ,259611 ,282753 ,5089 ,2592 ,2497 ,2 ,67085 
2018,송파구,270866 ,673507 ,326849 ,346658 ,666635 ,323526 ,343109 ,6872 ,3323 ,3549 ,2 ,81364 
2018,강동구,177247 ,431920 ,213853 ,218067 ,427573 ,211816 ,215757 ,4347 ,2037 ,2310 ,2 ,58770 
2019,종로구,73947 ,161869 ,78215 ,83654 ,151290 ,73746 ,77544 ,10579 ,4469 ,6110 ,2 ,27519 
2019,중구,62739 ,136488 ,66823 ,69665 ,126171 ,61910 ,64261 ,10317 ,4913 ,5404 ,2 ,23275 
2019,용산구,110126 ,245185 ,119599 ,125586 ,228670 ,110356 ,118314 ,16515 ,9243 ,7272 ,2 ,38791 
2019,성동구,135838 ,308979 ,150861 ,158118 ,300889 ,147273 ,153616 ,8090 ,3588 ,4502 ,2 ,43947 
2019,광진구,164428 ,366972 ,176917 ,190055 ,351350 ,170262 ,181088 ,15622 ,6655 ,8967 ,2 ,47902 
2019,동대문구,164191 ,363023 ,178490 ,184533 ,346194 ,172113 ,174081 ,16829 ,6377 ,10452 ,2 ,59350 
2019,중랑구,181579 ,402024 ,199006 ,203018 ,397015 ,196959 ,200056 ,5009 ,2047 ,2962 ,2 ,65164 
2019,성북구,192592 ,454744 ,219099 ,235645 ,442650 ,214437 ,228213 ,12094 ,4662 ,7432 ,2 ,70850 
2019,강북구,144277 ,317695 ,154638 ,163057 ,313954 ,153235 ,160719 ,3741 ,1403 ,2338 ,2 ,60577 
2019,도봉구,138508 ,335631 ,163961 ,171670 ,333362 ,163051 ,170311 ,2269 ,910 ,1359 ,2 ,58714 
2019,노원구,216966 ,537303 ,259810 ,277493 ,532905 ,257923 ,274982 ,4398 ,1887 ,2511 ,2 ,80923 
2019,은평구,207681 ,484546 ,233360 ,251186 ,480032 ,231528 ,248504 ,4514 ,1832 ,2682 ,2 ,80738 
2019,서대문구,140157 ,323171 ,153215 ,169956 ,309397 ,148663 ,160734 ,13774 ,4552 ,9222 ,2 ,52074 
2019,마포구,175023 ,385925 ,181303 ,204622 ,374035 ,176891 ,197144 ,11890 ,4412 ,7478 ,2 ,52429 
2019,양천구,177256 ,462285 ,227019 ,235266 ,458165 ,225186 ,232979 ,4120 ,1833 ,2287 ,3 ,61264 
2019,강서구,262708 ,598273 ,289691 ,308582 ,591796 ,286563 ,305233 ,6477 ,3128 ,3349 ,2 ,84077 
2019,구로구,176568 ,439371 ,219602 ,219769 ,406664 ,200987 ,205677 ,32707 ,18615 ,14092 ,2 ,65779 
2019,금천구,110622 ,251820 ,128954 ,122866 ,232810 ,118209 ,114601 ,19010 ,10745 ,8265 ,2 ,37660 
2019,영등포구,174806 ,400986 ,200986 ,200000 ,367678 ,182438 ,185240 ,33308 ,18548 ,14760 ,2 ,57872 
2019,동작구,180753 ,408912 ,197706 ,211206 ,395963 ,191976 ,203987 ,12949 ,5730 ,7219 ,2 ,62226 
2019,관악구,268559 ,517334 ,259194 ,258140 ,500094 ,251009 ,249085 ,17240 ,8185 ,9055 ,2 ,75194 
2019,서초구,173199 ,435107 ,208181 ,226926 ,430826 ,206039 ,224787 ,4281 ,2142 ,2139 ,2 ,57136 
2019,강남구,232981 ,550209 ,263345 ,286864 ,545169 ,260806 ,284363 ,5040 ,2539 ,2501 ,2 ,71025 
2019,송파구,278711 ,682741 ,330412 ,352329 ,675961 ,327164 ,348797 ,6780 ,3248 ,3532 ,2 ,87334 
2019,강동구,183390 ,440390 ,217338 ,223052 ,436067 ,215335 ,220732 ,4323 ,2003 ,2320 ,2 ,63452 
2020,종로구,75003 ,158996 ,76876 ,82120 ,149384 ,72635 ,76749 ,9612 ,4241 ,5371 ,2 ,28507 
2020,중구,63686 ,134635 ,65776 ,68859 ,125240 ,61222 ,64018 ,9395 ,4554 ,4841 ,2 ,24495 
2020,용산구,113093 ,244645 ,118835 ,125810 ,230040 ,110722 ,119318 ,14605 ,8113 ,6492 ,2 ,40247 
2020,성동구,135870 ,300505 ,146424 ,154081 ,293556 ,143387 ,150169 ,6949 ,3037 ,3912 ,2 ,45603 
2020,광진구,167427 ,360109 ,173000 ,187109 ,346682 ,167310 ,179372 ,13427 ,5690 ,7737 ,2 ,50560 
2020,동대문구,167598 ,357014 ,175322 ,181692 ,342837 ,169769 ,173068 ,14177 ,5553 ,8624 ,2 ,61796 
2020,중랑구,185920 ,399562 ,197118 ,202444 ,394702 ,195165 ,199537 ,4860 ,1953 ,2907 ,2 ,69447 
2020,성북구,195396 ,447056 ,214658 ,232398 ,437153 ,210810 ,226343 ,9903 ,3848 ,6055 ,2 ,73770 
2020,강북구,145896 ,311569 ,151466 ,160103 ,308055 ,150143 ,157912 ,3514 ,1323 ,2191 ,2 ,63422 
2020,도봉구,139114 ,327361 ,159420 ,167941 ,325257 ,158620 ,166637 ,2104 ,800 ,1304 ,2 ,62059 
2020,노원구,218270 ,527032 ,254188 ,272844 ,523037 ,252383 ,270654 ,3995 ,1805 ,2190 ,2 ,85489 
2020,은평구,213914 ,484043 ,231998 ,252045 ,479835 ,230279 ,249556 ,4208 ,1719 ,2489 ,2 ,85187 
2020,서대문구,144838 ,322952 ,153152 ,169800 ,312173 ,149360 ,162813 ,10779 ,3792 ,6987 ,2 ,54204 
2020,마포구,178482 ,381858 ,178977 ,202881 ,371890 ,175150 ,196740 ,9968 ,3827 ,6141 ,2 ,54331 
2020,양천구,180633 ,457781 ,224379 ,233402 ,454251 ,222824 ,231427 ,3530 ,1555 ,1975 ,3 ,65670 
2020,강서구,266982 ,585901 ,282686 ,303215 ,580185 ,280034 ,300151 ,5716 ,2652 ,3064 ,2 ,88984 
2020,구로구,180531 ,432488 ,215424 ,217064 ,404408 ,199673 ,204735 ,28080 ,15751 ,12329 ,2 ,70198 
2020,금천구,114715 ,247835 ,126141 ,121694 ,231733 ,117226 ,114507 ,16102 ,8915 ,7187 ,2 ,39842 
2020,영등포구,184714 ,407367 ,202969 ,204398 ,379480 ,187647 ,191833 ,27887 ,15322 ,12565 ,2 ,61688 
2020,동작구,184229 ,401572 ,193718 ,207854 ,391220 ,189152 ,202068 ,10352 ,4566 ,5786 ,2 ,65190 
2020,관악구,274811 ,509803 ,255211 ,254592 ,495060 ,248339 ,246721 ,14743 ,6872 ,7871 ,2 ,78875 
2020,서초구,173502 ,429025 ,205282 ,223743 ,425126 ,203359 ,221767 ,3899 ,1923 ,1976 ,2 ,60169 
2020,강남구,234872 ,544055 ,260378 ,283677 ,539231 ,257999 ,281232 ,4824 ,2379 ,2445 ,2 ,75096 
2020,송파구,281959 ,673926 ,325080 ,348846 ,667960 ,322299 ,345661 ,5966 ,2781 ,3185 ,2 ,93483 
2020,강동구,196499 ,463998 ,228044 ,235954 ,459970 ,226216 ,233754 ,4028 ,1828 ,2200 ,2 ,70019 
