No,번호,명       칭,구별,읍면동,위        치,주소,경도,위도,상태
16,16,극동,서북구,쌍용동,380-3 외 1,충남 천안시 서북구 쌍용동 380-3 외 1,127.131812686528,36.796196908742,정좌표
17,17,현대,서북구,쌍용동,389-3 외1필지,충남 천안시 서북구 쌍용동 389-3 외1필지,127.131824534391,36.7953185469698,정좌표
18,18,정석,서북구,직산읍,삼은리 69-14,충남 천안시 서북구 직산읍 삼은리 69-14,127.155932265349,36.8798520626105,정좌표
19,19,송죽,서북구,성거읍,송남리 14,충남 천안시 서북구 성거읍 송남리 14,127.200240754436,36.8724349771416,정좌표
20,20,성환골드맨션,서북구,성환읍,매주리 320-1,충남 천안시 서북구 성환읍 매주리 320-1,127.128525963425,36.9132770141641,정좌표
21,21,대명,서북구,성환읍,매주리 370-21,충남 천안시 서북구 성환읍 매주리 370-21,127.121093201329,36.9046773550342,정좌표
22,22,선경,서북구,성거읍,천흥리 460-2,충남 천안시 서북구 성거읍 천흥리 460-2,127.206075828671,36.8725096067565,정좌표
23,23,중앙,서북구,성환읍,매주리 311-9,충남 천안시 서북구 성환읍 매주리 311-9,127.13109572714,36.9112232415403,정좌표
24,24,연합,서북구,입장면,신덕리 200-21,충남 천안시 서북구 입장면 신덕리 200-21,127.209583013233,36.9122578358815,정좌표
25,25,청호4차,서북구,직산읍,부송리 60-3,충남 천안시 서북구 직산읍 부송리 60-3,127.139183291732,36.8760487992549,정좌표
26,26,성정한도,서북구,성정동,122-2,충남 천안시 서북구 성정동 122-2,127.146498236856,36.8141885718932,정좌표
27,27,시영1차근로복지,서북구,쌍용동,861,충남 천안시 서북구 쌍용동 861,127.129062101282,36.8084279686057,정좌표
28,28,일성1차,서북구,쌍용동,848,충남 천안시 서북구 쌍용동 848,127.130600970449,36.8088974801871,정좌표
29,29,현대,서북구,백석동,191-3,충남 천안시 서북구 백석동 191-3,127.125712727541,36.8215812435695,정좌표
30,30,직산한도,서북구,직산읍,삼은리 70,충남 천안시 서북구 직산읍 삼은리 70,127.154485655846,36.8797322376225,정좌표
31,31,혜성,서북구,성환읍,매주리 425-11,충남 천안시 서북구 성환읍 매주리 425-11,127.129534183231,36.9095767399135,정좌표
32,32,영흥,서북구,성환읍,송덕리 55-12,충남 천안시 서북구 성환읍 송덕리 55-12,127.1181490974,36.9233753878204,정좌표
33,33,대우성촌프라자,서북구,성정동,698-1,충남 천안시 서북구 성정동 698-1,127.13846214795,36.8176934109948,정좌표
34,34,청호5차,서북구,직산읍,군서리 428-3,충남 천안시 서북구 직산읍 군서리 428-3,127.143565053144,36.895181516116,정좌표
35,35,활림1차,서북구,성정동,141-3,충남 천안시 서북구 성정동 141-3,127.143435172594,36.8166211670822,정좌표
