No,번호,명       칭,구별,읍면동,위        치,주소,경도,위도,상태
84,84,월봉벽산태영,서북구,쌍용2동,1538,충남 천안시 서북구 쌍용2동 1538,127.116345922114,36.7984120185965,정좌표
85,85,월봉대우,서북구,쌍용2동,1548,충남 천안시 서북구 쌍용2동 1548,127.115430830988,36.7955981606065,정좌표
86,86,월봉현대,서북구,쌍용2동,1552,충남 천안시 서북구 쌍용2동 1552,127.113950090676,36.7958537032424,정좌표
87,87,성거벽산,서북구,성거읍,신월리 3-3,충남 천안시 서북구 성거읍 신월리 3-3,127.158272672861,36.8787314637347,정좌표
88,88,두정대우2차,서북구,두정동,530,충남 천안시 서북구 두정동 530,127.143058360633,36.8347671688777,정좌표
89,89,대영한아름,서북구,성환읍,율금리 513,충남 천안시 서북구 성환읍 율금리 513,127.112673396213,36.9046320965321,정좌표
90,90,장미,서북구,성거읍,천흥리 429,충남 천안시 서북구 성거읍 천흥리 429,127.202100900728,36.8724135827368,정좌표
91,91,한아름,서북구,직산읍,양당리 3-65,충남 천안시 서북구 직산읍 양당리 3-65,127.124047473875,36.8883241978573,인근좌표
92,92,동해늘푸른,서북구,성거읍,요방리 268-1,충남 천안시 서북구 성거읍 요방리 268-1,127.17645982156,36.8509651511639,정좌표
93,93,월봉일성,서북구,쌍용2동,1547,충남 천안시 서북구 쌍용2동 1547,127.116820810516,36.796022408293,정좌표
94,94,거봉,서북구,입장면,신두리 393-17,충남 천안시 서북구 입장면 신두리 393-17,127.199962385554,36.9129056914627,정좌표
95,95,쌍용마을뜨란채(주공10단지),서북구,쌍용3동,1920,충남 천안시 서북구 쌍용3동 1920,127.119266709297,36.8053961184784,정좌표
96,96,용암마을,서북구,쌍용3동,1923,충남 천안시 서북구 쌍용3동 1923,127.11751279501,36.8023976869491,정좌표
97,97,한성,서북구,입장면,도림리 341-1,충남 천안시 서북구 입장면 도림리 341-1,127.245064686268,36.9152197601277,정좌표
98,98,청솔(월봉청솔2차),서북구,쌍용2동,1561,충남 천안시 서북구 쌍용2동 1561,127.116218824094,36.7937767686302,정좌표
99,99,금정샛별임대,서북구,성거읍,오목리 58,충남 천안시 서북구 성거읍 오목리 58,127.206947449141,36.8886665825589,정좌표
100,100,저리보금자리,서북구,성거읍,저리 252 ,충남 천안시 서북구 성거읍 저리 252 ,127.19723962461,36.8863369582816,정좌표
101,101,태양,서북구,성환읍,성월리 26-2,충남 천안시 서북구 성환읍 성월리 26-2,127.141341874462,36.9180867024616,정좌표
102,102,월봉청솔(1차),서북구,쌍용2동,1367,충남 천안시 서북구 쌍용2동 1367,127.116761664812,36.8001868977111,정좌표
103,103,두진그린힐,서북구,성환읍,율금리 773-3,충남 천안시 서북구 성환읍 율금리 773-3,127.101513043728,36.9056751161137,인근좌표
104,104,한성스위트빌,서북구,두정동,1000,충남 천안시 서북구 두정동 1000,127.134832459988,36.8363685559223,정좌표
105,105,주공그린빌1차,서북구,백석동,915,충남 천안시 서북구 백석동 915,127.119467427905,36.8220757940579,정좌표
106,106,주공(11단지),서북구,백석동,910,충남 천안시 서북구 백석동 910,127.118772902862,36.819893389695,정좌표
107,107,부경파크빌,서북구,두정동,606,충남 천안시 서북구 두정동 606,127.128321873576,36.827010372272,정좌표
108,108,주성레이크빌,서북구,입장면,기로리 86-1,충남 천안시 서북구 입장면 기로리 86-1,127.249999995578,36.909755436818,정좌표
109,109,우남두정마을(1차),서북구,두정동,1596,충남 천안시 서북구 두정동 1596,127.14682147961,36.8381839952438,정좌표
110,110,우남(2차),서북구,두정동,1607,충남 천안시 서북구 두정동 1607,127.146954241147,36.8372473567176,정좌표
111,111,두정3차푸르지오,서북구,두정동,1593,충남 천안시 서북구 두정동 1593,127.142891516845,36.8382262418188,정좌표
112,112,세광엔리치빌(2차),서북구,두정동,603,충남 천안시 서북구 두정동 603,127.12866550146,36.8296508986899,정좌표
113,113,세광엔리치빌(3차),서북구,두정동,605,충남 천안시 서북구 두정동 605,127.128355917593,36.8281638308919,정좌표
114,114,두정4차푸르지오,서북구,두정동,666,충남 천안시 서북구 두정동 666,127.130190286538,36.8296332209101,정좌표
